# EvtID pe_px[MeV/c] pe_py[MeV/c] pe_pz[MeV/c] prec_px[MeV/c] prec_py[MeV/c] prec_pz[MeV/c] pidrec zvtx[cm] weight
50414 1.4462262938e+02 1.2202667368e+03 3.8174400450e+03 2.7603846453e+02 7.6116951862e+01 -2.8970211122e+02 2212 -4.8481424043e+00 8.1766115857e-02
50683 -8.3192048771e+01 9.7065760469e+02 3.4653032736e+03 3.3211012722e+02 3.8537601918e+01 -2.3096950945e+02 2212 -3.9378391656e+00 9.4704624699e-01
50774 -9.4539667790e+01 9.7208225706e+02 3.4532850661e+03 2.9872517903e+02 -1.1179311969e+01 -2.9567216322e+02 2212 -1.4493466141e+00 4.3384885108e-01
51510 -8.0640333086e+01 1.4611271984e+03 4.4207672664e+03 3.5356315539e+02 -7.9652726879e+00 -3.0781197170e+02 2212 -4.2577709905e+00 4.5522331668e-03
51933 4.5728100348e+00 1.3537641934e+03 4.6192214782e+03 1.9219476113e+02 -4.1380047019e+01 -7.6427032852e+01 2212 -3.2820297284e+00 1.2879420807e+01
52078 4.0759692271e+01 1.3389014772e+03 4.3667684739e+03 3.9476045876e+02 9.5407153531e+01 -2.6814536629e+02 2212 -2.1567308619e+00 2.3568311707e-02
52886 -1.9230177413e+02 1.5226500043e+03 4.9913995326e+03 3.8845893170e+02 3.2247800317e+01 -1.8666190411e+02 2212 -3.2674887702e+00 5.5119187057e-02
52917 6.2692548527e+01 1.3223379272e+03 4.1258797866e+03 9.4773224159e+01 1.6773007748e+01 -3.9622465322e+02 2212 -4.8899214384e+00 1.3134627680e-02
53067 -1.8716462820e+02 1.2764977459e+03 4.4433775589e+03 4.1162152393e+02 8.5543941744e+01 -1.8660385902e+02 2212 -3.0669914240e+00 1.8978550033e-01
53183 -2.0652035416e+02 1.2521443535e+03 4.2030686225e+03 4.0952605015e+02 1.7131803157e+01 -2.9935737134e+02 2212 -1.6473925656e+00 2.4444992651e-02
53300 9.3955005672e+01 1.1485723621e+03 4.0147592261e+03 2.7498125556e+02 7.4334069426e+01 -3.3310290989e+02 2212 -4.8451476609e+00 8.6388242433e-02
53326 1.4231777900e+02 1.1731289933e+03 3.7421866345e+03 4.1268015378e+02 -9.4072555561e+01 -2.4832808049e+02 2212 -1.3563949354e+00 9.3965814332e-02
53421 -1.1500443569e+02 1.2243575935e+03 3.8576106910e+03 1.9109546540e+02 -3.1212375437e+01 -6.5568692772e+01 2212 -2.0509979718e+00 1.9674810584e+01
53620 -1.3921551819e+02 1.2702730286e+03 4.1386022001e+03 2.4028809284e+02 7.4269836944e+01 -1.5603154141e+01 2212 -2.6928197879e+00 8.6992201809e+00
53644 1.3986770045e+01 1.3144296734e+03 4.3638372094e+03 1.9832557306e+02 6.8878187357e+01 -2.1460388884e+02 2212 -4.5533142490e+00 6.2945791898e-01
53695 3.1148692555e+01 1.0979209289e+03 3.5067889095e+03 3.1260135576e+02 -1.0295897460e+02 -4.0125454700e+02 2212 -4.1748955236e+00 6.8078755287e-03
53802 -6.9572312043e+01 1.0362627039e+03 3.4661639545e+03 3.9896809389e+02 3.9633252041e+01 -1.6838876146e+02 2212 -2.4545330980e+00 8.3987789046e-01
